year,reefName,dhw
1986,Turning Point Patches (No 1) (11-048a),1.46
1986,U/N Reef (11-071),1.27
1986,U/N Reef (11-072),0.84
1986,U/N Reef (11-073),1
1986,U/N Reef (11-074),0.84
1986,U/N Reef (11-075),0.84
1986,U/N Reef (11-076),0.85
1986,U/N Reef (11-056a),1.82
1986,U/N Reef (11-056b),1.45
1986,U/N Reef (11-056c),1.47
1986,U/N Reef (11-056d),1.46
1986,Cochin Reef (11-057),1.47
1986,Parkinson Reef (11-058),1.44
1986,Monkman Reef (11-059),1.45
1986,U/N Reef (11-060),1.43
1986,Little Boydong Reef (11-061),1.42
1986,Boydong Island Reef (11-062),1.42
1986,U/N Reef (11-063a),0.68
1986,U/N Reef (11-063b),0.65
1986,U/N Reef (11-064),0.94
1986,U/N Reef (11-065),1.1
1986,U/N Reef (11-066),1.27
1986,U/N Reef (11-067),0.78
1986,U/N Reef (11-068),1.17
1986,U/N Reef (11-069),1.27
1986,Maclennan Reef (No 1) (11-070a),1.4
1986,Maclennan Reef (No 2) (11-070b),1.52
1986,Maclennan Reef (No 3) (11-070c),1.31
1986,Indefatigable Reef (11-103),1.95
1986,U/N Reef (11-104),1.75
1986,U/N Reef (11-105),0.93
1986,U/N Reef (11-107),1.21
1986,U/N Reef (11-108),0.93
1986,U/N Reef (11-109a),0.93
1986,U/N Reef (11-109b),0.93
1986,U/N Reef (11-110),0.97
1986,U/N Reef (11-111),1.75
1986,U/N Reef (11-112),0.65
1986,U/N Reef (11-113),0.65
1986,U/N Reef (11-114),0.65
1986,U/N Reef (11-115),0.67
1986,U/N Reef (11-116),0.67
1986,U/N Reef (11-117),0.83
1986,U/N Reef (11-118a),0.83
1986,U/N Reef (11-118b),0.83
1986,U/N Reef (11-119),0.69
1986,U/N Reef (11-077),0.85
1986,U/N Reef (11-078),0.85
1986,U/N Reef (11-079),1.45
1986,U/N Reef (11-080),1.46
1986,U/N Reef (11-081),0.85
1986,U/N Reef (11-082),0.93
1986,U/N Reef (11-083),0.93
1986,U/N Reef (11-084),0.93
1986,U/N Reef (11-085),0.93
1986,U/N Reef (11-087a),0.88
1986,U/N Reef (11-087b),0.93
1986,U/N Reef (11-088),0.93
1986,U/N Reef (11-089a),0.93
1986,U/N Reef (11-089b),0.93
1986,U/N Reef (11-090),1.45
1986,U/N Reef (11-091),0.78
1986,U/N Reef (11-092),1.65
1986,U/N Reef (11-093),1.64
1986,U/N Reef (11-094),0.78
1986,U/N Reef (11-095),0.78
1986,U/N Reef (11-096),0.78
1986,U/N Reef (11-097),0.78
1986,Risk Reef (11-098),1.64
1986,U/N Reef (11-099),1.7
1986,Shadwell Reef (11-100),1.69
1986,U/N Reef (11-101),1.75
1986,U/N Reef (11-102),1.06
1986,U/N Reef (11-157),2.11
1986,U/N Reef (11-158),1.53
1986,U/N Reef (11-120),0.79
1986,U/N Reef (11-121),0.84
1986,U/N Reef (11-122),0.98
1986,U/N Reef (11-123),1.28
1986,U/N Reef (11-124),1.28
1986,Stark Reef (11-125),1.15
1986,U/N Reef (11-126a),1
1986,U/N Reef (11-126b),1
1986,U/N Reef (11-127a),1
1986,U/N Reef (11-127b),1
1986,U/N Reef (11-128),1
1986,U/N Reef (11-129),1
1986,Moulter Reef (11-130),1.05
1986,Saunders Reef (11-131),1.52
1986,Hunter Reefs (11-132),1.87
1986,U/N Reef (11-133),2.03
1986,Pirie Reef (11-134),2.18
1986,U/N Reef (11-135),2.37
1986,Hannibal Islands Reef (11-136),2.21
1986,U/N Reef (11-137),2.57
1986,MacArthur Islands Reef (11-138),2.6
1986,U/N Reef (11-139),2.43
1986,U/N Reef (11-140),2.38
1986,U/N Reef (11-141),2.41
1986,U/N Reef (11-142),2.41
1986,U/N Reef (11-143),2.43
1986,U/N Reef (11-144),2.38
1986,U/N Reef (11-145),2.38
1986,Nigger Head Reef (11-146),2.41
