reefName,year,chlA
U/N Reef (11-007),2002,0.488143876477349
U/N Reef (11-008),2002,0.491031791829686
Bushy Island Reef (11-009),2002,0.484674754801765
Cairncross Islets Reef (11-010),2002,0.477045896659622
U/N Reef (11-011a),2002,0.491643952377111
U/N Reef (11-011b),2002,0.491234878756068
U/N Reef (11-012),2002,0.490470491963202
Halfway Islet Reef (11-013),2002,0.478999537707929
Pearn Reef (11-014),2002,0.484415829373215
U/N Reef (11-015),2002,0.494286454128595
McSweeney Reef (11-016),2002,0.448224555116762
U/N Reef (11-017),2002,0.429863205099091
U/N Reef (11-018),2002,0.425124098386284
U/N Reef (11-019),2002,0.401985822807994
U/N Reef (11-020),2002,0.421554025082257
U/N Reef (11-021),2002,0.42252725400349
U/N Reef (11-022),2002,0.40263619521671
U/N Reef (11-023),2002,0.415758731350398
U/N Reef (11-024),2002,0.432398022617546
U/N Reef (11-025),2002,0.47359107126835
Sinclair Reef (11-026),2002,0.470320551624829
U/N Reef (11-027),2002,0.466476908023712
U/N Reef (11-028),2002,0.393791590372867
Monsoon Reef (11-029),2002,0.444828624094827
U/N Reef (11-030),2002,0.404643444458025
U/N Reef (11-031),2002,0.45008644816875
U/N Reef (11-032),2002,0.410060285016554
U/N Reef (11-033a),2002,0.416210731396945
U/N Reef (11-033b),2002,0.414294370352105
Turning Point Patches (No 2) (11-048b),2002,0.378854431647937
U/N Reef (11-049),2002,0.424207225384773
U/N Reef (11-050),2002,0.460913745479875
U/N Reef (11-051),2002,0.47009188424659
Cholmondeley Reef (11-052),2002,0.47050596152212
Jardine Reef (11-053),2002,0.472618409484907
U/N Reef (11-054),2002,0.460914950536926
Wallace Islet Reef (11-055),2002,0.473888541097587
Milman-Aplin Reef (11-035),2002,0.470762744046758
Parsons Reef (11-036),2002,0.454465853326669
Collette Reef (11-037),2002,0.430123283483407
Douglas Islet Reef (11-038),2002,0.471640383803748
U/N Reef (11-039),2002,0.443296195428
U/N Reef (11-040),2002,0.463294846714009
U/N Reef (11-041a),2002,0.472038245923463
U/N Reef (11-041b),2002,0.470850335457587
U/N Reef (11-042),2002,0.455231374964981
Onslow Reef (11-043),2002,0.437830302947891
Wilds Shoal (11-044),2002,0.417398501242525
U/N Reef (11-045),2002,0.390682348190489
U/N Reef (11-046),2002,0.465901675349476
U/N Reef (11-047),2002,0.466318509216466
Turning Point Patches (No 1) (11-048a),2002,0.407347029450769
U/N Reef (11-071),2002,0.381734578838348
U/N Reef (11-072),2002,0.340526025777248
U/N Reef (11-073),2002,0.339767638512904
U/N Reef (11-074),2002,0.340758468917794
U/N Reef (11-075),2002,0.343093790215547
U/N Reef (11-076),2002,0.34232108478309
U/N Reef (11-056a),2002,0.406208747258907
U/N Reef (11-056b),2002,0.436438696721684
U/N Reef (11-056c),2002,0.42960181537563
U/N Reef (11-056d),2002,0.413444783432638
Cochin Reef (11-057),2002,0.399662547749313
Parkinson Reef (11-058),2002,0.467641517643416
Monkman Reef (11-059),2002,0.461635475272282
U/N Reef (11-060),2002,0.471764752070296
Little Boydong Reef (11-061),2002,0.475678098761312
Boydong Island Reef (11-062),2002,0.476800171601872
