year,reefName,cycImpact
1980,Wilds Shoal (11-044),0
1980,U/N Reef (11-045),0
1980,U/N Reef (11-046),0
1980,U/N Reef (11-047),0
1980,Turning Point Patches (No 1) (11-048a),0
1980,U/N Reef (11-071),0
1980,U/N Reef (11-072),0
1980,U/N Reef (11-073),0
1980,U/N Reef (11-074),0
1980,U/N Reef (11-075),0
1980,U/N Reef (11-076),0
1980,U/N Reef (11-056a),0
1980,U/N Reef (11-056b),0
1980,U/N Reef (11-056c),0
1980,U/N Reef (11-056d),0
1980,Cochin Reef (11-057),0
1980,Parkinson Reef (11-058),0
1980,Monkman Reef (11-059),0
1980,U/N Reef (11-060),0
1980,Little Boydong Reef (11-061),0
1980,Boydong Island Reef (11-062),0
1980,U/N Reef (11-063a),0
1980,U/N Reef (11-063b),0
1980,U/N Reef (11-064),0
1980,U/N Reef (11-065),0
1980,U/N Reef (11-066),0
1980,U/N Reef (11-067),0
1980,U/N Reef (11-068),0
1980,U/N Reef (11-069),0
1980,Maclennan Reef (No 1) (11-070a),0
1980,Maclennan Reef (No 2) (11-070b),0
1980,Maclennan Reef (No 3) (11-070c),0
1980,Indefatigable Reef (11-103),0
1980,U/N Reef (11-104),0
1980,U/N Reef (11-105),0
1980,U/N Reef (11-107),0
1980,U/N Reef (11-108),0
1980,U/N Reef (11-109a),0
1980,U/N Reef (11-109b),0
1980,U/N Reef (11-110),0
1980,U/N Reef (11-111),0
1980,U/N Reef (11-112),0
1980,U/N Reef (11-113),0
1980,U/N Reef (11-114),0
1980,U/N Reef (11-115),0
1980,U/N Reef (11-116),0
1980,U/N Reef (11-117),0
1980,U/N Reef (11-118a),0
1980,U/N Reef (11-118b),0
1980,U/N Reef (11-119),0
1980,U/N Reef (11-077),0
1980,U/N Reef (11-078),0
1980,U/N Reef (11-079),0
1980,U/N Reef (11-080),0
1980,U/N Reef (11-081),0
1980,U/N Reef (11-082),0
1980,U/N Reef (11-083),0
1980,U/N Reef (11-084),0
1980,U/N Reef (11-085),0
1980,U/N Reef (11-087a),0
1980,U/N Reef (11-087b),0
1980,U/N Reef (11-088),0
1980,U/N Reef (11-089a),0
1980,U/N Reef (11-089b),0
1980,U/N Reef (11-090),0
1980,U/N Reef (11-091),0
1980,U/N Reef (11-092),0
1980,U/N Reef (11-093),0
1980,U/N Reef (11-094),0
1980,U/N Reef (11-095),0
1980,U/N Reef (11-096),0
1980,U/N Reef (11-097),0
1980,Risk Reef (11-098),0
1980,U/N Reef (11-099),0
1980,Shadwell Reef (11-100),0
1980,U/N Reef (11-101),0
1980,U/N Reef (11-102),0
1980,U/N Reef (11-157),0
1980,U/N Reef (11-158),0
1980,U/N Reef (11-120),0
1980,U/N Reef (11-121),0
1980,U/N Reef (11-122),0
1980,U/N Reef (11-123),0
1980,U/N Reef (11-124),0
1980,Stark Reef (11-125),0
1980,U/N Reef (11-126a),0
1980,U/N Reef (11-126b),0
1980,U/N Reef (11-127a),0
1980,U/N Reef (11-127b),0
1980,U/N Reef (11-128),0
1980,U/N Reef (11-129),0
1980,Moulter Reef (11-130),0
1980,Saunders Reef (11-131),0
1980,Hunter Reefs (11-132),0
1980,U/N Reef (11-133),0
1980,Pirie Reef (11-134),0
1980,U/N Reef (11-135),0
1980,Hannibal Islands Reef (11-136),0
1980,U/N Reef (11-137),0
1980,MacArthur Islands Reef (11-138),0
1980,U/N Reef (11-139),0
1980,U/N Reef (11-140),0
1980,U/N Reef (11-141),0
1980,U/N Reef (11-142),0
1980,U/N Reef (11-143),0
1980,U/N Reef (11-144),0
1980,U/N Reef (11-145),0
1980,Nigger Head Reef (11-146),0
1980,U/N Reef (11-147),0
1980,U/N Reef (11-148),0
1980,U/N Reef (11-149),0
1980,U/N Reef (11-150),0
1980,U/N Reef (11-151),0
1980,U/N Reef (11-152),0
1980,U/N Reef (11-153),0
1980,U/N Reef (11-154),0
1980,U/N Reef (11-155),0
1980,Wizard Reef (11-156),0
1980,Bird Islands Reef (South) (11-169),0
1980,Chimmo Shoal (11-170),0
1980,Guthray Reef (11-171),0
1980,U/N Reef (11-172),0
1980,Cockburn Reef (11-173),0
1980,Magra Reef (11-174),0
1980,U/N Reef (11-175),0
1980,Rodney Reef (11-176),0
